age_months,age_years,lx
638,53.1667,93962
639,53.25,93912
640,53.3333,93863
641,53.4167,93814
642,53.5,93764
643,53.5833,93714
644,53.6667,93665
645,53.75,93616
646,53.8333,93566
647,53.9167,93516
648,54.0,93467
649,54.0833,93412
650,54.1667,93358
651,54.25,93303
652,54.3333,93249
653,54.4167,93194
654,54.5,93140
655,54.5833,93085
656,54.6667,93030
657,54.75,92976
658,54.8333,92921
659,54.9167,92867
660,55.0,92812
661,55.0833,92753
662,55.1667,92694
663,55.25,92634
664,55.3333,92575
665,55.4167,92516
666,55.5,92456
667,55.5833,92397
668,55.6667,92338
669,55.75,92279
670,55.8333,92220
671,55.9167,92160
672,56.0,92101
673,56.0833,92037
674,56.1667,91974
675,56.25,91910
676,56.3333,91846
677,56.4167,91782
678,56.5,91718
679,56.5833,91655
680,56.6667,91591
681,56.75,91527
682,56.8333,91464
683,56.9167,91400
684,57.0,91336
685,57.0833,91268
686,57.1667,91200
687,57.25,91132
688,57.3333,91063
689,57.4167,90995
690,57.5,90927
691,57.5833,90859
692,57.6667,90791
693,57.75,90722
694,57.8333,90654
695,57.9167,90586
696,58.0,90518
697,58.0833,90442
698,58.1667,90366
699,58.25,90290
700,58.3333,90214
701,58.4167,90138
702,58.5,90062
703,58.5833,89986
704,58.6667,89910
705,58.75,89834
706,58.8333,89758
707,58.9167,89682
708,59.0,89606
709,59.0833,89524
710,59.1667,89443
711,59.25,89361
712,59.3333,89279
713,59.4167,89198
714,59.5,89116
715,59.5833,89034
716,59.6667,88953
717,59.75,88871
718,59.8333,88789
719,59.9167,88708
720,60.0,88626
721,60.0833,88538
722,60.1667,88451
723,60.25,88364
724,60.3333,88276
725,60.4167,88188
726,60.5,88101
727,60.5833,88014
728,60.6667,87926
729,60.75,87838
730,60.8333,87751
731,60.9167,87664
732,61.0,87576
733,61.0833,87482
734,61.1667,87389
735,61.25,87296
736,61.3333,87202
737,61.4167,87108
738,61.5,87015
739,61.5833,86922
740,61.6667,86828
741,61.75,86734
742,61.8333,86641
743,61.9167,86548
744,62.0,86454
745,62.0833,86355
746,62.1667,86257
747,62.25,86158
748,62.3333,86060
749,62.4167,85961
750,62.5,85862
751,62.5833,85764
752,62.6667,85665
753,62.75,85567
754,62.8333,85468
755,62.9167,85370
756,63.0,85271
757,63.0833,85167
758,63.1667,85062
759,63.25,84958
760,63.3333,84853
761,63.4167,84749
762,63.5,84644
763,63.5833,84540
764,63.6667,84436
765,63.75,84331
766,63.8333,84227
767,63.9167,84122
768,64.0,84018
769,64.0833,83906
770,64.1667,83794
771,64.25,83682
772,64.3333,83569
773,64.4167,83457
774,64.5,83345
775,64.5833,83233
776,64.6667,83121
777,64.75,83008
778,64.8333,82896
779,64.9167,82784
780,65.0,82672
781,65.0833,82551
782,65.1667,82431
783,65.25,82310
784,65.3333,82189
785,65.4167,82068
786,65.5,81948
787,65.5833,81827
788,65.6667,81706
789,65.75,81585
790,65.8333,81464
791,65.9167,81344
792,66.0,81223
793,66.0833,81094
794,66.1667,80966
795,66.25,80837
796,66.3333,80708
797,66.4167,80580
798,66.5,80451
799,66.5833,80322
800,66.6667,80194
801,66.75,80065
802,66.8333,79936
803,66.9167,79808
804,67.0,79679
805,67.0833,79542
806,67.1667,79405
807,67.25,79268
808,67.3333,79130
809,67.4167,78993
810,67.5,78856
811,67.5833,78719
812,67.6667,78582
813,67.75,78444
814,67.8333,78307
815,67.9167,78170
816,68.0,78033
817,68.0833,77887
818,68.1667,77740
819,68.25,77594
820,68.3333,77447
821,68.4167,77301
822,68.5,77154
823,68.5833,77008
824,68.6667,76862
825,68.75,76715
826,68.8333,76569
827,68.9167,76422
828,69.0,76276
829,69.0833,76119
830,69.1667,75963
831,69.25,75806
832,69.3333,75650
833,69.4167,75493
834,69.5,75336
835,69.5833,75180
836,69.6667,75023
837,69.75,74867
838,69.8333,74710
839,69.9167,74554
840,70.0,74397
841,70.0833,74229
842,70.1667,74062
843,70.25,73894
844,70.3333,73726
845,70.4167,73559
846,70.5,73391
847,70.5833,73223
848,70.6667,73056
849,70.75,72888
850,70.8333,72720
851,70.9167,72553
852,71.0,72385
853,71.0833,72206
854,71.1667,72027
855,71.25,71848
856,71.3333,71669
857,71.4167,71490
858,71.5,71310
859,71.5833,71131
860,71.6667,70952
861,71.75,70773
862,71.8333,70594
863,71.9167,70415
864,72.0,70236
865,72.0833,70044
866,72.1667,69851
867,72.25,69659
868,72.3333,69467
869,72.4167,69274
870,72.5,69082
871,72.5833,68890
872,72.6667,68697
873,72.75,68505
874,72.8333,68313
875,72.9167,68120
876,73.0,67928
877,73.0833,67722
878,73.1667,67516
879,73.25,67310
880,73.3333,67104
881,73.4167,66898
882,73.5,66692
883,73.5833,66486
884,73.6667,66280
885,73.75,66074
886,73.8333,65868
887,73.9167,65662
888,74.0,65456
889,74.0833,65233
890,74.1667,65011
891,74.25,64788
892,74.3333,64566
893,74.4167,64343
894,74.5,64120
895,74.5833,63898
896,74.6667,63675
897,74.75,63453
898,74.8333,63230
899,74.9167,63008
900,75.0,62785
901,75.0833,62546
902,75.1667,62307
903,75.25,62068
904,75.3333,61829
905,75.4167,61590
906,75.5,61351
907,75.5833,61112
908,75.6667,60873
909,75.75,60634
910,75.8333,60395
911,75.9167,60156
912,76.0,59917
913,76.0833,59663
914,76.1667,59409
915,76.25,59154
916,76.3333,58900
917,76.4167,58646
918,76.5,58392
919,76.5833,58138
920,76.6667,57884
921,76.75,57630
922,76.8333,57375
923,76.9167,57121
924,77.0,56867
925,77.0833,56595
926,77.1667,56322
927,77.25,56050
928,77.3333,55778
929,77.4167,55505
930,77.5,55233
931,77.5833,54961
932,77.6667,54688
933,77.75,54416
934,77.8333,54144
935,77.9167,53871
936,78.0,53599
937,78.0833,53311
938,78.1667,53023
939,78.25,52734
940,78.3333,52446
941,78.4167,52158
942,78.5,51870
943,78.5833,51582
944,78.6667,51294
945,78.75,51006
946,78.8333,50717
947,78.9167,50429
948,79.0,50141
949,79.0833,49840
950,79.1667,49539
951,79.25,49237
952,79.3333,48936
953,79.4167,48635
954,79.5,48334
955,79.5833,48032
956,79.6667,47731
957,79.75,47430
958,79.8333,47128
959,79.9167,46827
960,80.0,46526
961,80.0833,46215
962,80.1667,45904
